time,latitude,longitude,altitude,vn,ve,hdop,satellites
60049.000,33.709658,73.091262,499.700,0.000,0.000,4.510,5
60050.000,33.709659,73.091261,499.000,0.000,0.000,4.510,5
60051.000,33.709659,73.091261,498.900,0.000,0.000,4.510,5
60052.000,33.709660,73.091260,498.500,0.000,0.000,4.510,5
60053.000,33.709661,73.091259,498.000,0.000,0.000,4.510,5
60054.000,33.709661,73.091259,497.900,0.000,0.000,4.510,5
60055.000,33.709661,73.091260,498.200,0.000,0.000,4.510,5
60056.000,33.709661,73.091259,498.000,0.000,0.000,4.510,5
60057.000,33.709661,73.091259,497.300,0.000,0.000,4.510,5
60058.000,33.709660,73.091260,497.400,0.000,0.000,4.510,5
60059.000,33.709662,73.091258,497.000,0.000,0.000,4.510,5
60060.000,33.709661,73.091258,496.900,0.000,0.000,4.510,5
60061.000,33.709662,73.091258,496.700,0.000,0.000,4.510,5
60062.000,33.709661,73.091258,497.000,0.000,0.000,4.520,5
60063.000,33.709662,73.091258,496.800,0.000,0.000,4.520,5
60064.000,33.709663,73.091257,496.200,0.000,0.000,4.520,5
60065.000,33.709663,73.091256,495.900,0.000,0.000,4.520,5
60066.000,33.709663,73.091256,496.300,0.000,0.000,4.520,5
60067.000,33.709663,73.091256,496.400,0.000,0.000,4.520,5
60068.000,33.709663,73.091256,496.600,0.000,0.000,4.520,5
60067.000,33.709662,73.091257,497.000,0.000,0.000,4.520,5
60068.000,33.709662,73.091257,497.300,0.000,0.000,4.520,5
60069.000,33.709661,73.091257,497.300,0.000,0.000,4.520,5
60070.000,33.709661,73.091257,497.700,0.000,0.000,4.520,5
60071.000,33.709661,73.091257,498.100,0.000,0.000,4.520,5
60072.000,33.709661,73.091257,498.300,0.000,0.000,4.520,5
60073.000,33.709660,73.091257,498.500,0.000,0.000,4.520,5
60074.000,33.709660,73.091257,498.500,0.000,0.000,4.520,5
60075.000,33.709660,73.091257,498.800,0.000,0.000,4.520,5
60076.000,33.709660,73.091258,499.100,0.000,0.000,4.520,5
60077.000,33.709660,73.091258,499.300,0.000,0.000,4.520,5
60078.000,33.709660,73.091257,499.400,0.000,0.000,4.520,5
60079.000,33.709659,73.091258,499.700,0.000,0.000,4.520,5
60080.000,33.709658,73.091258,499.900,0.000,0.000,4.520,5
60081.000,33.709658,73.091257,499.800,0.000,0.000,4.520,5
60082.000,33.709659,73.091257,499.900,0.000,0.000,4.520,5
60083.000,33.709658,73.091257,500.300,0.000,0.000,4.520,5
60084.000,33.709657,73.091258,500.500,0.000,0.000,4.520,5
60085.000,33.709656,73.091258,500.700,0.000,0.000,4.530,5
60086.000,33.709655,73.091259,501.000,0.000,0.000,4.530,5
60087.000,33.709655,73.091259,501.200,0.000,0.000,4.530,5
60088.000,33.709655,73.091259,501.500,0.000,0.000,4.530,5
60089.000,33.709655,73.091259,501.400,0.000,0.000,4.530,5
60090.000,33.709655,73.091259,501.400,0.000,0.000,4.530,5
60091.000,33.709656,73.091258,501.400,0.000,0.000,4.530,5
60092.000,33.709655,73.091258,501.600,0.000,0.000,4.530,5
60093.000,33.709654,73.091259,502.200,0.000,0.000,4.530,5
60094.000,33.709653,73.091260,502.700,0.000,0.000,4.530,5
60095.000,33.709652,73.091261,503.300,0.000,0.000,4.530,5
60096.000,33.709650,73.091262,504.000,0.000,0.000,4.530,5
60097.000,33.709649,73.091262,504.600,0.000,0.000,4.530,5
60098.000,33.709649,73.091263,505.000,0.000,0.000,4.530,5
60099.000,33.709648,73.091263,505.600,0.000,0.000,4.530,5
60100.000,33.709647,73.091264,506.100,0.000,0.000,4.530,5
60101.000,33.709646,73.091265,506.700,0.000,0.000,4.530,5
60102.000,33.709644,73.091267,507.300,0.000,0.000,4.530,5
60103.000,33.709644,73.091267,507.900,0.000,0.000,4.530,5
60104.000,33.709643,73.091269,508.500,0.000,0.000,4.530,5
60105.000,33.709642,73.091269,508.700,0.000,0.000,4.530,5
60106.000,33.709642,73.091270,509.200,0.000,0.000,4.530,5
60107.000,33.709641,73.091271,509.500,0.000,0.000,4.530,5
60108.000,33.709640,73.091272,510.000,0.000,0.000,4.530,5
60109.000,33.709639,73.091272,510.500,0.000,0.000,4.530,5
60110.000,33.709637,73.091273,510.800,0.000,0.000,4.540,5
60111.000,33.709637,73.091273,511.100,0.000,0.000,4.540,5
