time,ax,ay,az,wx,wy,wz
37030.986,0.018,-0.013,-1.050,4.639,-1.251,-0.824
37030.993,0.021,-0.010,-1.045,4.639,-1.129,-0.931
37031.000,0.023,-0.017,-1.046,4.670,-1.114,-0.916
37031.007,0.021,-0.015,-1.047,4.624,-1.206,-0.855
37031.014,0.021,-0.015,-1.049,4.593,-1.175,-0.992
37031.021,0.022,-0.015,-1.054,4.593,-1.053,-0.839
37031.029,0.018,-0.010,-1.051,4.563,-1.221,-0.778
37031.036,0.017,-0.014,-1.049,4.563,-1.328,-0.870
37031.043,0.020,-0.013,-1.051,4.685,-1.145,-0.885
37031.050,0.019,-0.011,-1.046,4.654,-1.175,-0.961
37031.113,0.017,-0.012,-1.047,4.715,-1.267,-0.885
37031.120,0.021,-0.014,-1.049,4.670,-1.175,-0.961
37031.128,0.021,-0.013,-1.045,4.654,-1.267,-1.007
37031.135,0.019,-0.012,-1.050,4.746,-1.251,-0.916
37031.142,0.020,-0.014,-1.056,4.670,-1.221,-1.053
37031.149,0.021,-0.013,-1.046,4.685,-1.221,-0.946
37031.172,0.019,-0.016,-1.046,4.624,-1.206,-1.022
37031.179,0.022,-0.011,-1.051,4.639,-1.297,-0.916
37031.186,0.022,-0.014,-1.045,4.578,-1.190,-0.961
37031.193,0.020,-0.009,-1.046,4.639,-1.221,-0.961
37031.200,0.018,-0.011,-1.048,4.624,-1.190,-0.961
37031.207,0.017,-0.013,-1.054,4.547,-1.206,-0.946
37031.215,0.016,-0.010,-1.052,4.807,-1.160,-0.961
37031.222,0.017,-0.011,-1.053,4.532,-1.328,-0.855
37031.229,0.019,-0.013,-1.044,4.593,-1.343,-0.809
37031.236,0.024,-0.015,-1.048,4.609,-1.267,-0.931
37031.244,0.018,-0.014,-1.046,4.868,-1.221,-1.022
37031.251,0.023,-0.014,-1.050,4.685,-1.221,-1.175
37031.258,0.018,-0.014,-1.052,4.563,-1.328,-1.007
37031.266,0.020,-0.010,-1.051,4.654,-1.297,-0.855
37031.288,0.018,-0.016,-1.052,4.486,-1.267,-0.946
37031.295,0.021,-0.010,-1.041,4.578,-1.267,-0.931
37031.302,0.020,-0.014,-1.048,4.563,-1.251,-0.977
37031.310,0.020,-0.017,-1.051,4.685,-1.175,-0.961
37031.317,0.018,-0.009,-1.048,4.670,-1.297,-0.778
37031.324,0.015,-0.011,-1.050,4.593,-1.236,-0.809
37031.331,0.020,-0.016,-1.047,4.624,-1.221,-0.855
37031.338,0.019,-0.014,-1.042,4.593,-1.343,-0.931
37031.346,0.017,-0.014,-1.054,4.593,-1.373,-0.931
37031.353,0.021,-0.015,-1.049,4.609,-1.267,-0.946
37031.360,0.023,-0.012,-1.051,4.563,-1.221,-0.855
37031.367,0.018,-0.011,-1.047,4.593,-1.221,-0.839
37031.374,0.019,-0.013,-1.050,4.593,-1.190,-0.824
37031.382,0.024,-0.015,-1.052,4.532,-1.251,-0.961
37031.389,0.019,-0.012,-1.050,4.685,-1.221,-0.992
37031.396,0.022,-0.012,-1.052,4.547,-1.267,-0.977
37031.403,0.021,-0.015,-1.045,4.517,-1.190,-1.038
37031.410,0.019,-0.014,-1.045,4.639,-1.114,-0.946
37031.418,0.019,-0.014,-1.050,4.624,-1.206,-0.946
37031.425,0.018,-0.016,-1.051,4.700,-1.236,-0.870
37031.432,0.016,-0.011,-1.046,4.578,-1.297,-1.007
37031.439,0.020,-0.011,-1.046,4.685,-1.312,-0.916
37031.446,0.016,-0.014,-1.049,4.670,-1.328,-0.946
37031.454,0.020,-0.014,-1.045,4.761,-1.236,-0.961
37031.461,0.018,-0.012,-1.045,4.578,-1.221,-1.038
37031.468,0.018,-0.012,-1.049,4.547,-1.297,-0.946
37031.475,0.023,-0.013,-1.050,4.609,-1.175,-0.900
37031.482,0.019,-0.014,-1.052,4.609,-1.206,-0.961
37031.490,0.018,-0.011,-1.048,4.532,-1.206,-0.900
37031.497,0.017,-0.013,-1.048,4.563,-1.297,-0.855
37031.504,0.024,-0.014,-1.049,4.700,-1.236,-0.900
37031.511,0.019,-0.018,-1.044,4.700,-1.282,-0.839
37031.518,0.019,-0.015,-1.043,4.502,-1.389,-0.916
37031.526,0.021,-0.012,-1.045,4.578,-1.297,-1.022
37031.533,0.019,-0.014,-1.045,4.654,-1.206,-0.885
37031.540,0.020,-0.012,-1.047,4.700,-1.312,-0.946
37031.547,0.020,-0.012,-1.049,4.654,-1.221,-0.885
37031.554,0.020,-0.013,-1.048,4.563,-1.312,-0.946
37031.562,0.020,-0.015,-1.042,4.715,-1.282,-1.007
37031.569,0.022,-0.009,-1.049,4.609,-1.206,-0.977
37031.576,0.018,-0.010,-1.042,4.578,-1.251,-0.916
37031.583,0.020,-0.012,-1.051,4.685,-1.251,-0.992
37031.590,0.016,-0.013,-1.050,4.547,-1.190,-0.977
37031.598,0.015,-0.010,-1.051,4.517,-1.267,-0.961
37031.605,0.020,-0.012,-1.052,4.624,-1.328,-0.870
37031.612,0.020,-0.012,-1.044,4.731,-1.236,-0.977
37031.619,0.018,-0.017,-1.049,4.563,-1.282,-0.885
37031.626,0.017,-0.013,-1.047,4.486,-1.297,-0.961
37031.633,0.017,-0.014,-1.045,4.456,-1.267,-0.778
37031.641,0.021,-0.014,-1.047,4.517,-1.251,-0.961
37031.648,0.024,-0.017,-1.050,4.578,-1.221,-0.916
37031.655,0.017,-0.015,-1.045,4.654,-1.236,-0.916
37031.662,0.017,-0.010,-1.050,4.578,-1.221,-0.961
37031.669,0.018,-0.015,-1.050,4.517,-1.160,-0.992
37031.676,0.020,-0.016,-1.047,4.532,-1.221,-0.794
37031.684,0.019,-0.009,-1.049,4.639,-1.282,-0.824
37031.691,0.019,-0.011,-1.051,4.715,-1.251,-0.946
37031.698,0.015,-0.012,-1.039,4.593,-1.190,-0.824
37031.705,0.017,-0.013,-1.043,4.639,-1.221,-0.916
37031.761,0.018,-0.015,-1.043,4.731,-1.053,-0.870
37031.768,0.018,-0.013,-1.046,4.547,-1.312,-0.961
37031.775,0.021,-0.011,-1.048,4.624,-1.145,-1.083
37031.782,0.022,-0.013,-1.050,4.532,-1.419,-0.977
37031.790,0.018,-0.014,-1.052,4.593,-1.312,-0.870
37031.797,0.018,-0.011,-1.045,4.700,-1.267,-0.992
37031.804,0.019,-0.014,-1.050,4.624,-1.358,-0.885
37031.811,0.013,-0.011,-1.050,4.502,-1.175,-1.068
37031.818,0.020,-0.014,-1.043,4.670,-1.282,-0.961
37031.825,0.021,-0.011,-1.051,4.471,-1.251,-0.946
37031.833,0.016,-0.012,-1.042,4.670,-1.297,-1.007
37031.840,0.016,-0.013,-1.050,4.700,-1.282,-0.977
37031.847,0.019,-0.010,-1.054,4.593,-1.221,-0.885
37031.854,0.016,-0.012,-1.049,4.609,-1.373,-0.946
37031.861,0.017,-0.012,-1.044,4.502,-1.175,-0.977
37031.868,0.018,-0.014,-1.051,4.563,-1.343,-0.916
37031.876,0.019,-0.013,-1.044,4.624,-1.358,-0.992
37031.883,0.017,-0.015,-1.048,4.624,-1.312,-0.900
37031.890,0.020,-0.011,-1.048,4.517,-1.358,-0.977
37031.897,0.020,-0.017,-1.046,4.502,-1.267,-0.855
37031.904,0.021,-0.014,-1.042,4.639,-1.404,-0.916
37031.911,0.017,-0.011,-1.047,4.547,-1.206,-0.870
37031.919,0.019,-0.012,-1.047,4.578,-1.206,-0.870
37031.926,0.021,-0.010,-1.047,4.502,-1.251,-0.885
37031.933,0.019,-0.011,-1.055,4.609,-1.312,-0.870
37031.940,0.016,-0.013,-1.042,4.578,-1.145,-0.855
37031.947,0.021,-0.016,-1.043,4.502,-1.236,-0.900
37031.954,0.018,-0.011,-1.045,4.578,-1.389,-0.885
37031.962,0.013,-0.012,-1.051,4.700,-1.221,-0.961
37031.969,0.021,-0.014,-1.045,4.639,-1.206,-0.794
37031.976,0.019,-0.013,-1.048,4.547,-1.328,-1.007
37031.983,0.020,-0.010,-1.049,4.609,-1.251,-0.885
37031.990,0.021,-0.011,-1.047,4.563,-1.297,-0.946
37031.997,0.021,-0.013,-1.056,4.685,-1.175,-0.946
37032.005,0.020,-0.012,-1.044,4.532,-1.175,-0.931
37032.012,0.017,-0.018,-1.049,4.593,-1.328,-0.961
37032.075,0.016,-0.015,-1.051,4.486,-1.206,-0.961
37032.082,0.017,-0.014,-1.048,4.532,-1.206,-0.839
37032.089,0.019,-0.014,-1.054,4.654,-1.038,-0.992
37032.096,0.018,-0.012,-1.046,4.624,-1.236,-0.900
37032.103,0.021,-0.012,-1.052,4.502,-1.221,-0.870
37032.111,0.018,-0.013,-1.047,4.685,-1.190,-0.931
37032.118,0.020,-0.015,-1.050,4.547,-1.282,-0.839
37032.125,0.019,-0.011,-1.046,4.563,-1.267,-0.870
37032.132,0.017,-0.011,-1.050,4.624,-1.328,-0.977
37032.139,0.019,-0.017,-1.046,4.532,-1.404,-0.946
37032.147,0.017,-0.013,-1.046,4.563,-1.389,-0.992
37032.169,0.021,-0.011,-1.049,4.471,-1.190,-0.977
37032.176,0.020,-0.012,-1.045,4.563,-1.236,-0.900
37032.183,0.023,-0.012,-1.046,4.547,-1.312,-0.870
37032.191,0.020,-0.014,-1.051,4.547,-1.267,-0.794
37032.198,0.020,-0.013,-1.052,4.609,-1.282,-0.839
37032.205,0.018,-0.012,-1.053,4.578,-1.251,-0.916
37032.212,0.020,-0.010,-1.045,4.547,-1.236,-1.022
37032.219,0.016,-0.013,-1.049,4.563,-1.389,-0.870
37032.226,0.018,-0.015,-1.046,4.471,-1.312,-0.870
37032.234,0.019,-0.012,-1.043,4.593,-1.267,-0.931
37032.241,0.022,-0.011,-1.045,4.578,-1.297,-0.961
37032.248,0.022,-0.017,-1.056,4.563,-1.312,-0.900
37032.255,0.019,-0.017,-1.050,4.624,-1.404,-0.809
37032.263,0.018,-0.011,-1.050,4.685,-1.267,-0.900
37032.285,0.021,-0.012,-1.049,4.654,-1.282,-0.946
37032.293,0.015,-0.011,-1.049,4.654,-1.175,-0.885
37032.300,0.016,-0.014,-1.047,4.471,-1.236,-0.916
37032.307,0.020,-0.011,-1.051,4.395,-1.312,-0.870
37032.398,0.021,-0.012,-1.051,4.609,-1.358,-0.961
37032.405,0.017,-0.010,-1.044,4.578,-1.358,-0.931
37032.413,0.017,-0.012,-1.049,4.502,-1.175,-0.916
37032.420,0.018,-0.011,-1.042,4.654,-1.267,-0.992
37032.427,0.023,-0.012,-1.052,4.547,-1.312,-0.870
37032.434,0.021,-0.015,-1.042,4.547,-1.373,-0.809
37032.441,0.020,-0.012,-1.046,4.563,-1.312,-0.916
37032.449,0.021,-0.014,-1.046,4.563,-1.190,-0.900
37032.456,0.020,-0.012,-1.046,4.639,-1.328,-0.931
37032.463,0.019,-0.012,-1.052,4.563,-1.236,-0.992
37032.470,0.018,-0.016,-1.052,4.471,-1.190,-0.916
37032.478,0.016,-0.013,-1.049,4.609,-1.282,-0.931
37032.485,0.021,-0.014,-1.048,4.502,-1.236,-1.053
37032.492,0.019,-0.013,-1.050,4.670,-1.343,-0.885
37032.499,0.019,-0.013,-1.047,4.624,-1.419,-0.824
37032.506,0.018,-0.015,-1.042,4.578,-1.267,-0.855
37032.514,0.019,-0.013,-1.052,4.593,-1.328,-0.977
37032.521,0.022,-0.019,-1.043,4.578,-1.419,-0.961
37032.528,0.019,-0.010,-1.042,4.486,-1.282,-1.114
37032.535,0.017,-0.013,-1.050,4.639,-1.358,-1.007
37032.543,0.021,-0.012,-1.049,4.639,-1.190,-0.961
37032.550,0.020,-0.015,-1.050,4.685,-1.312,-1.007
37032.557,0.018,-0.014,-1.044,4.731,-1.206,-0.870
37032.564,0.021,-0.012,-1.050,4.502,-1.297,-0.809
37032.571,0.021,-0.014,-1.050,4.593,-1.221,-1.007
37032.579,0.016,-0.015,-1.047,4.547,-1.282,-0.916
37032.586,0.019,-0.016,-1.045,4.654,-1.282,-0.900
37032.593,0.021,-0.014,-1.050,4.547,-1.282,-0.961
37032.600,0.019,-0.016,-1.050,4.517,-1.297,-0.900
37032.607,0.020,-0.016,-1.050,4.547,-1.267,-0.885
37032.615,0.018,-0.012,-1.044,4.654,-1.282,-0.946
37032.622,0.020,-0.013,-1.048,4.517,-1.328,-0.961
37032.629,0.019,-0.012,-1.048,4.639,-1.236,-0.931
37032.636,0.018,-0.011,-1.043,4.639,-1.267,-0.916
37032.643,0.021,-0.010,-1.045,4.609,-1.221,-0.824
37032.651,0.020,-0.013,-1.049,4.624,-1.267,-0.992
37032.658,0.021,-0.013,-1.045,4.563,-1.267,-0.916
37032.665,0.018,-0.011,-1.049,4.547,-1.251,-0.977
37032.735,0.019,-0.015,-1.044,4.670,-1.251,-1.068
37032.743,0.021,-0.009,-1.045,4.578,-1.251,-1.038
37032.750,0.021,-0.012,-1.049,4.609,-1.297,-0.824
37032.757,0.021,-0.015,-1.046,4.700,-1.251,-0.977
37032.764,0.022,-0.013,-1.049,4.715,-1.236,-0.763
37032.771,0.021,-0.015,-1.045,4.654,-1.145,-0.900
37032.779,0.019,-0.015,-1.054,4.517,-1.282,-0.946
37032.786,0.015,-0.014,-1.045,4.624,-1.267,-0.900
37032.793,0.019,-0.011,-1.051,4.593,-1.267,-0.855
37032.800,0.021,-0.015,-1.049,4.639,-1.251,-0.885
37032.807,0.019,-0.013,-1.054,4.624,-1.190,-0.977
37032.815,0.019,-0.013,-1.049,4.654,-1.282,-0.931
37032.822,0.021,-0.014,-1.044,4.731,-1.190,-1.007
37032.829,0.015,-0.012,-1.047,4.609,-1.251,-0.931
37032.836,0.021,-0.009,-1.045,4.502,-1.358,-0.946
37032.843,0.019,-0.011,-1.047,4.700,-1.297,-0.916
37032.851,0.020,-0.010,-1.047,4.609,-1.328,-0.931
37032.858,0.018,-0.014,-1.048,4.502,-1.389,-0.946
37032.865,0.019,-0.013,-1.050,4.547,-1.267,-0.839
37032.872,0.021,-0.010,-1.044,4.532,-1.221,-0.824
37032.879,0.017,-0.013,-1.051,4.654,-1.129,-0.961
37032.887,0.019,-0.013,-1.043,4.578,-1.343,-0.961
37032.894,0.017,-0.017,-1.046,4.471,-1.221,-0.977
37032.901,0.020,-0.013,-1.049,4.563,-1.251,-0.885
37032.908,0.019,-0.012,-1.048,4.547,-1.129,-0.961
37032.985,0.020,-0.013,-1.047,4.532,-1.312,-0.916
37032.992,0.017,-0.017,-1.042,4.456,-1.297,-0.931
37032.999,0.015,-0.012,-1.043,4.670,-1.267,-0.900
37033.007,0.024,-0.012,-1.054,4.715,-1.236,-0.824
37033.014,0.021,-0.015,-1.047,4.502,-1.236,-0.870
37033.021,0.024,-0.018,-1.055,4.471,-1.267,-0.885
37033.028,0.023,-0.012,-1.051,4.639,-1.190,-1.068
37033.035,0.021,-0.009,-1.046,4.547,-1.190,-0.946
37033.043,0.018,-0.013,-1.042,4.517,-1.251,-0.839
37033.050,0.017,-0.012,-1.052,4.486,-1.282,-0.885
37033.057,0.015,-0.017,-1.055,4.517,-1.190,-1.083
37033.064,0.024,-0.015,-1.049,4.517,-1.251,-0.916
37033.071,0.018,-0.015,-1.044,4.609,-1.190,-1.038
37033.079,0.020,-0.014,-1.045,4.715,-1.282,-0.900
37033.086,0.020,-0.013,-1.053,4.547,-1.129,-0.916
37033.093,0.022,-0.013,-1.053,4.654,-1.297,-0.931
37033.100,0.022,-0.013,-1.042,4.532,-1.236,-0.946
37033.107,0.015,-0.013,-1.048,4.624,-1.251,-0.961
37033.115,0.019,-0.016,-1.045,4.517,-1.389,-0.977
37033.122,0.017,-0.014,-1.046,4.578,-1.373,-0.839
37033.129,0.020,-0.011,-1.052,4.670,-1.282,-0.900
37033.136,0.022,-0.013,-1.043,4.563,-1.282,-0.977
37033.144,0.017,-0.012,-1.048,4.532,-1.297,-0.977
37033.229,0.014,-0.011,-1.048,4.670,-1.343,-1.007
37033.236,0.018,-0.012,-1.047,4.563,-1.221,-0.977
37033.243,0.017,-0.019,-1.047,4.670,-1.236,-1.022
37033.251,0.025,-0.014,-1.047,4.624,-1.190,-0.916
37033.258,0.019,-0.010,-1.048,4.639,-1.236,-0.900
37033.280,0.017,-0.010,-1.051,4.639,-1.267,-0.977
37033.288,0.016,-0.009,-1.055,4.547,-1.267,-0.870
37033.295,0.020,-0.015,-1.053,4.593,-1.236,-0.824
37033.302,0.019,-0.016,-1.048,4.609,-1.282,-0.916
37033.309,0.017,-0.014,-1.045,4.486,-1.297,-0.885
37033.316,0.019,-0.013,-1.045,4.502,-1.282,-0.809
37033.324,0.021,-0.015,-1.048,4.517,-1.206,-0.870
37033.331,0.020,-0.012,-1.052,4.670,-1.267,-0.946
37033.338,0.023,-0.007,-1.049,4.609,-1.221,-0.900
37033.345,0.020,-0.008,-1.052,4.654,-1.206,-0.931
37033.352,0.017,-0.012,-1.055,4.532,-1.358,-0.900
37033.360,0.023,-0.011,-1.049,4.609,-1.190,-0.992
37033.367,0.021,-0.009,-1.049,4.425,-1.328,-0.961
37033.374,0.020,-0.010,-1.044,4.532,-1.389,-0.931
37033.381,0.026,-0.014,-1.049,4.563,-1.190,-0.977
37033.388,0.020,-0.014,-1.046,4.441,-1.297,-0.855
37033.395,0.019,-0.009,-1.046,4.563,-1.297,-0.946
37033.473,0.019,-0.014,-1.046,4.700,-1.297,-0.855
37033.480,0.016,-0.014,-1.045,4.654,-1.221,-0.961
37033.487,0.022,-0.013,-1.046,4.578,-1.129,-0.931
37033.495,0.017,-0.014,-1.042,4.609,-1.236,-0.916
37033.502,0.018,-0.016,-1.045,4.639,-1.221,-0.961
37033.509,0.019,-0.011,-1.048,4.502,-1.328,-1.099
37033.516,0.020,-0.017,-1.049,4.547,-1.267,-0.931
37033.523,0.020,-0.013,-1.047,4.639,-1.206,-0.870
37033.531,0.019,-0.016,-1.054,4.609,-1.236,-0.855
37033.538,0.022,-0.014,-1.043,4.715,-1.343,-0.961
37033.545,0.020,-0.009,-1.048,4.532,-1.190,-0.916
37033.552,0.016,-0.011,-1.042,4.593,-1.190,-0.946
37033.559,0.019,-0.016,-1.046,4.639,-1.251,-0.900
37033.567,0.016,-0.015,-1.045,4.410,-1.343,-0.870
37033.574,0.018,-0.009,-1.044,4.593,-1.297,-0.870
37033.581,0.013,-0.018,-1.043,4.563,-1.282,-1.007
37033.588,0.019,-0.013,-1.047,4.563,-1.190,-0.855
37033.595,0.018,-0.013,-1.048,4.502,-1.328,-0.916
37033.603,0.021,-0.014,-1.043,4.639,-1.282,-0.977
37033.610,0.021,-0.014,-1.044,4.578,-1.358,-1.007
37033.617,0.019,-0.016,-1.049,4.639,-1.206,-0.946
37033.701,0.018,-0.015,-1.037,4.563,-1.236,-0.992
37033.708,0.019,-0.013,-1.042,4.609,-1.282,-0.778
37033.715,0.017,-0.010,-1.049,4.425,-1.282,-0.870
37033.723,0.021,-0.011,-1.049,4.517,-1.297,-0.794
37033.730,0.018,-0.010,-1.049,4.609,-1.282,-0.839
37033.737,0.015,-0.013,-1.051,4.547,-1.297,-0.931
37033.744,0.021,-0.013,-1.048,4.639,-1.236,-0.916
37033.751,0.022,-0.016,-1.045,4.624,-1.358,-0.946
37033.759,0.018,-0.014,-1.053,4.441,-1.267,-0.916
37033.766,0.016,-0.014,-1.043,4.624,-1.206,-0.839
37033.773,0.019,-0.010,-1.047,4.776,-1.297,-0.900
37033.780,0.017,-0.011,-1.050,4.517,-1.221,-0.900
37033.787,0.020,-0.010,-1.049,4.624,-1.282,-0.992
37033.794,0.016,-0.012,-1.053,4.639,-1.282,-0.931
37033.802,0.019,-0.010,-1.051,4.685,-1.267,-0.824
37033.809,0.021,-0.013,-1.049,4.486,-1.236,-0.885
37033.914,0.020,-0.012,-1.050,4.563,-1.358,-0.855
37033.921,0.018,-0.014,-1.042,4.578,-1.312,-0.885
37033.928,0.015,-0.015,-1.045,4.578,-1.389,-0.824
37033.935,0.017,-0.013,-1.053,4.639,-1.297,-0.961
37033.943,0.021,-0.013,-1.044,4.578,-1.251,-0.946
37033.950,0.022,-0.011,-1.056,4.593,-1.267,-0.931
37033.957,0.021,-0.013,-1.041,4.609,-1.236,-0.778
37033.964,0.018,-0.013,-1.045,4.532,-1.129,-0.855
37033.971,0.016,-0.010,-1.051,4.547,-1.267,-0.916
37033.978,0.020,-0.017,-1.052,4.700,-1.328,-0.931
37033.986,0.016,-0.015,-1.044,4.471,-1.328,-0.839
37033.993,0.021,-0.015,-1.049,4.731,-1.236,-1.038
37034.000,0.021,-0.014,-1.055,4.593,-1.343,-1.007
37034.007,0.016,-0.013,-1.045,4.517,-1.328,-0.855
37034.014,0.020,-0.014,-1.051,4.517,-1.267,-0.977
37034.022,0.023,-0.015,-1.051,4.563,-1.221,-0.946
37034.127,0.021,-0.015,-1.048,4.609,-1.221,-0.961
37034.134,0.023,-0.012,-1.041,4.547,-1.267,-0.885
37034.141,0.017,-0.011,-1.048,4.532,-1.419,-0.961
37034.164,0.017,-0.014,-1.049,4.563,-1.389,-0.839
37034.171,0.018,-0.013,-1.045,4.578,-1.343,-0.900
37034.178,0.019,-0.014,-1.050,4.563,-1.206,-0.870
37034.185,0.021,-0.013,-1.052,4.502,-1.312,-0.931
37034.192,0.018,-0.014,-1.047,4.624,-1.190,-0.931
37034.200,0.018,-0.014,-1.046,4.670,-1.190,-0.977
37034.207,0.017,-0.012,-1.052,4.593,-1.282,-0.900
37034.214,0.015,-0.014,-1.042,4.563,-1.434,-0.931
37034.221,0.014,-0.010,-1.042,4.609,-1.297,-1.038
37034.229,0.019,-0.012,-1.051,4.593,-1.251,-0.961
37034.236,0.019,-0.011,-1.045,4.639,-1.206,-0.916
37034.243,0.020,-0.012,-1.048,4.578,-1.312,-0.977
37034.250,0.014,-0.013,-1.048,4.593,-1.267,-0.916
37034.258,0.019,-0.014,-1.048,4.563,-1.312,-0.961
37034.392,0.022,-0.013,-1.045,4.563,-1.312,-0.885
37034.399,0.022,-0.010,-1.044,4.563,-1.343,-0.931
37034.406,0.019,-0.013,-1.042,4.517,-1.312,-0.824
37034.413,0.018,-0.012,-1.043,4.639,-1.343,-0.839
37034.421,0.021,-0.011,-1.052,4.563,-1.221,-0.961
37034.428,0.019,-0.009,-1.045,4.578,-1.251,-0.885
37034.435,0.020,-0.014,-1.045,4.624,-1.206,-0.946
37034.442,0.021,-0.011,-1.047,4.593,-1.221,-0.885
37034.449,0.021,-0.013,-1.043,4.578,-1.206,-0.839
37034.457,0.021,-0.013,-1.044,4.670,-1.419,-0.900
37034.464,0.016,-0.014,-1.047,4.715,-1.206,-0.961
37034.471,0.019,-0.014,-1.052,4.578,-1.312,-0.824
37034.478,0.020,-0.015,-1.049,4.563,-1.267,-1.129
37034.485,0.021,-0.012,-1.051,4.654,-1.343,-0.961
37034.682,0.023,-0.014,-1.042,4.624,-1.282,-0.839
37034.689,0.017,-0.018,-1.051,4.502,-1.160,-0.870
37034.696,0.024,-0.014,-1.044,4.624,-1.328,-0.809
37034.703,0.024,-0.014,-1.042,4.563,-1.297,-0.839
37034.710,0.016,-0.014,-1.047,4.425,-1.206,-0.824
37034.718,0.021,-0.018,-1.043,4.654,-1.312,-0.931
37034.725,0.020,-0.012,-1.049,4.578,-1.267,-0.931
37034.732,0.019,-0.011,-1.046,4.471,-1.221,-0.870
37034.739,0.020,-0.013,-1.047,4.593,-1.236,-0.931
37034.746,0.021,-0.011,-1.049,4.563,-1.221,-0.870
37034.753,0.019,-0.009,-1.052,4.517,-1.251,-0.946
37034.761,0.022,-0.013,-1.051,4.517,-1.267,-0.855
37034.768,0.019,-0.012,-1.048,4.502,-1.251,-0.717
37034.880,0.019,-0.015,-1.050,4.670,-1.251,-0.992
37034.887,0.018,-0.013,-1.048,4.670,-1.160,-0.977
37034.894,0.021,-0.016,-1.050,4.639,-1.236,-0.946
37034.901,0.022,-0.014,-1.051,4.609,-1.312,-0.961
37034.908,0.022,-0.011,-1.043,4.654,-1.297,-0.885
37034.915,0.019,-0.012,-1.045,4.425,-1.206,-0.961
37034.923,0.018,-0.014,-1.049,4.563,-1.190,-1.038
37034.930,0.023,-0.013,-1.052,4.547,-1.114,-0.885
37034.937,0.020,-0.013,-1.042,4.593,-1.206,-0.977
37034.944,0.019,-0.012,-1.043,4.593,-1.114,-0.839
37034.951,0.021,-0.013,-1.044,4.700,-1.328,-0.946
37034.958,0.017,-0.018,-1.043,4.654,-1.312,-0.931
37034.965,0.018,-0.011,-1.049,4.563,-1.236,-0.916
37034.973,0.018,-0.014,-1.046,4.456,-1.373,-0.900
37035.063,0.019,-0.018,-1.053,4.563,-1.114,-0.809
37035.071,0.017,-0.011,-1.043,4.563,-1.190,-0.992
37035.078,0.016,-0.012,-1.045,4.578,-1.175,-0.885
37035.085,0.019,-0.011,-1.044,4.624,-1.312,-0.916
37035.092,0.019,-0.013,-1.052,4.609,-1.251,-1.038
37035.100,0.016,-0.012,-1.050,4.639,-1.282,-0.946
37035.107,0.020,-0.017,-1.045,4.700,-1.175,-0.992
37035.114,0.020,-0.015,-1.048,4.578,-1.267,-1.038
37035.121,0.019,-0.012,-1.046,4.670,-1.251,-0.977
37035.128,0.019,-0.014,-1.047,4.746,-1.236,-0.885
37035.135,0.019,-0.014,-1.049,4.486,-1.297,-0.900
37035.143,0.021,-0.015,-1.048,4.532,-1.145,-0.946
37035.165,0.019,-0.013,-1.053,4.639,-1.297,-0.931
37035.173,0.020,-0.014,-1.050,4.731,-1.343,-0.961
37035.180,0.020,-0.013,-1.043,4.563,-1.282,-0.916
37035.187,0.019,-0.013,-1.043,4.700,-1.251,-0.885
37035.194,0.020,-0.014,-1.044,4.685,-1.206,-1.007
37035.201,0.017,-0.011,-1.044,4.609,-1.358,-1.053
37035.209,0.016,-0.014,-1.045,4.654,-1.297,-0.855
37035.294,0.023,-0.012,-1.052,4.670,-1.206,-0.961
37035.301,0.018,-0.013,-1.051,4.654,-1.236,-0.977
37035.308,0.015,-0.016,-1.048,4.685,-1.190,-0.992
37035.316,0.021,-0.013,-1.047,4.456,-1.297,-0.931
37035.323,0.021,-0.012,-1.044,4.654,-1.267,-0.931
37035.330,0.019,-0.013,-1.042,4.517,-1.190,-1.053
37035.337,0.021,-0.014,-1.047,4.624,-1.358,-0.763
37035.345,0.016,-0.010,-1.049,4.578,-1.190,-0.855
37035.352,0.018,-0.015,-1.048,4.547,-1.297,-0.900
37035.359,0.021,-0.012,-1.053,4.624,-1.343,-0.961
37035.366,0.021,-0.015,-1.046,4.517,-1.389,-0.916
37035.374,0.018,-0.013,-1.047,4.563,-1.282,-1.053
37035.381,0.019,-0.011,-1.052,4.563,-1.206,-0.946
37035.388,0.020,-0.014,-1.050,4.578,-1.312,-0.885
37035.395,0.019,-0.016,-1.044,4.593,-1.282,-0.900
37035.402,0.016,-0.011,-1.056,4.639,-1.297,-0.855
37035.410,0.020,-0.015,-1.047,4.532,-1.312,-0.855
37035.417,0.016,-0.013,-1.046,4.547,-1.175,-0.977
37035.501,0.020,-0.014,-1.047,4.578,-1.175,-0.931
37035.508,0.019,-0.013,-1.044,4.639,-1.175,-0.916
37035.516,0.020,-0.014,-1.050,4.486,-1.206,-0.778
37035.523,0.017,-0.014,-1.049,4.517,-1.206,-0.900
37035.530,0.018,-0.011,-1.047,4.563,-1.175,-0.855
37035.537,0.020,-0.010,-1.046,4.578,-1.328,-0.977
37035.544,0.020,-0.011,-1.053,4.547,-1.206,-0.839
37035.552,0.019,-0.014,-1.051,4.486,-1.267,-0.946
37035.559,0.020,-0.011,-1.046,4.593,-1.358,-0.946
37035.566,0.017,-0.016,-1.047,4.578,-1.206,-0.946
37035.573,0.017,-0.014,-1.049,4.456,-1.190,-0.839
37035.580,0.016,-0.019,-1.046,4.609,-1.251,-0.824
37035.588,0.017,-0.010,-1.051,4.654,-1.251,-0.794
